asset,strike,VRP,win_rate,expectancy,payoff_ratio,CAGR_hedged,CAGR_unhedged,CAGR_delta
XLF,20%OTM,0.0,0.067,-0.0109,7.57,0.0514,0.0572,-0.0058
XLF,20%OTM,0.25,0.06,-0.0251,4.95,0.0349,0.0572,-0.0223
XLF,20%OTM,0.5,0.057,-0.0407,3.38,0.0168,0.0572,-0.0404
XLF,20%OTM,1.0,0.05,-0.074,1.87,-0.0223,0.0572,-0.0795
XLK,20%OTM,0.0,0.117,0.0001,7.61,0.1085,0.0917,0.0168
XLK,20%OTM,0.25,0.117,-0.0134,3.88,0.0927,0.0917,0.0011
XLK,20%OTM,0.5,0.097,-0.0284,2.68,0.0752,0.0917,-0.0164
XLK,20%OTM,1.0,0.073,-0.0608,1.4,0.037,0.0917,-0.0547
SP500,20%OTM,0.0,0.043,-0.0043,9.85,0.0795,0.0837,-0.0042
SP500,20%OTM,0.25,0.037,-0.0108,5.85,0.0704,0.0837,-0.0133
SP500,20%OTM,0.5,0.035,-0.0187,3.48,0.0597,0.0837,-0.024
SP500,20%OTM,1.0,0.025,-0.0376,1.93,0.0348,0.0837,-0.0489
